iq	hrs	word.type	ms	male
111.1714050441	4.6565337934	regular	925.8621451578	0
106.6694986863	4.181696249	regular	868.3174102275	1
93.5842801851	3.0460122449	regular	1028.3732865818	1
116.4456374587	4.0733607874	regular	935.2079299494	1
85.4611176206	4.0204327982	regular	1034.6473791272	1
115.288753528	3.7414655651	regular	939.5042518076	1
79.9134456033	3.773076026	regular	1076.1520115133	1
102.4021750899	4.1416597664	regular	983.4083874164	0
124.0501292676	3.9366841309	regular	909.3423101902	1
86.8807893195	4.0213623853	regular	1010.1423545372	1
97.0804313369	4.5736419871	regular	1088.470227407	1
113.227236379	3.5659256633	regular	985.7521179837	1
93.56889146	4.846446873	regular	1022.8186222146	0
123.6438230438	3.8004880455	regular	947.4674402818	1
106.383761665	4.0211821881	regular	1098.3200264932	1
95.4681366334	4.2924876717	regular	966.4530714175	1
94.9246909037	3.9881689232	regular	1068.540931969	1
115.5564428148	3.0037104498	regular	990.1224396422	0
114.4705348636	3.7781513093	regular	1013.02563218	1
125.8529068733	4.62951472	regular	897.5531557583	1
98.6006259586	3.7940743546	regular	1055.0222395651	0
95.7312079132	4.2418878595	regular	1160.0800221292	0
106.2826894601	2.9814347461	regular	1027.8734610963	1
84.6235822538	4.2504679109	regular	1070.7572038226	0
98.4623444916	3.6729364583	regular	886.5872797572	0
107.1463522753	4.0421132973	regular	897.3705988373	1
104.1211876671	3.8870977494	regular	845.0942736723	1
70.4675881959	3.9350332574	regular	1263.1161019876	1
92.8985055659	3.9063114917	regular	1010.3463450774	0
104.6526537854	3.5032845555	regular	930.0291192761	1
110.5826475144	4.3448573499	regular	876.8701322758	0
140.0674991801	3.8719108417	regular	951.5360388749	1
108.6246051927	4.6857637566	regular	1030.1760648065	1
114.3522792296	4.0080819913	regular	912.2704544114	0
113.2528432537	3.6014606956	regular	971.019373291	1
114.2226612251	4.3612611992	regular	861.9238527464	0
111.0858949817	4.1662665033	regular	941.525547791	0
77.8489504479	3.7636669397	regular	1007.9204553401	1
91.797715243	3.5510834754	regular	1099.2601762486	1
96.5638156011	3.6408567666	regular	1037.0526317535	1
103.0363864202	4.451275678	regular	1032.4484148695	1
61.1130044775	3.946345324	regular	1178.1274094021	0
98.055265988	4.6101378608	regular	986.4011437258	0
103.3681953157	3.4192499901	regular	980.9385218243	1
95.1676773254	3.8149495799	regular	971.6458923862	1
123.5720646963	4.0309617802	regular	874.4826575984	1
93.8665653191	4.220985481	regular	1009.314414073	0
112.9775492186	4.5412856702	regular	1016.8872782612	1
84.7965215625	4.0191028149	regular	1057.8964378385	1
81.9599674305	4.2467118416	regular	1027.76273102	1
103.6186928046	3.9079856726	regular	910.4763128872	1
107.6002298206	4.3667026154	regular	1077.9314523896	0
81.8366749704	3.44266396	regular	1145.7217126362	0
98.4169475394	3.5482540372	regular	943.9215949878	1
89.8873775622	3.9441963439	regular	999.319375586	1
73.7111387831	3.1615335945	regular	1042.8103110041	0
112.7065794741	4.375120836	regular	1027.1930878394	1
83.59653223	4.5297391705	regular	1089.3188475779	1
120.3120400573	3.919464109	regular	902.813001174	0
97.2161624851	5.4720208351	regular	1055.0338225377	1
145.2509535841	3.5345133469	regular	700.97218845	0
101.3345649355	3.5036015242	regular	976.4538119333	0
109.9129385495	4.3871508154	regular	989.5045661883	0
103.3756551865	3.2815684044	regular	1020.4207626172	0
103.7081613933	4.3492267672	regular	897.5417641061	0
83.2293526479	3.7220201404	regular	1084.5183436039	1
78.3622837816	4.7112831222	regular	1052.0657673132	0
104.8156879385	3.252938943	regular	1080.840163173	0
88.6913268965	4.4998067157	regular	965.1651800756	1
128.7038182217	4.3394812574	regular	886.7372841643	1
81.7077272956	3.9704922905	regular	965.3999349685	1
82.5038933406	3.6761850245	regular	1099.106683148	0
105.9111314327	3.9364888288	regular	1087.4792781451	0
81.7464475868	4.5068233852	regular	997.4318573426	0
109.6444749242	4.3617682489	regular	922.2708027477	1
114.9412468033	5.0763166104	regular	967.2519760637	1
89.3383963244	4.6270907352	regular	999.8903131609	0
93.847412816	3.6481621885	regular	1014.4093620075	0
83.538213086	3.5569743528	regular	1064.0350229382	1
66.5814973559	3.673121112	regular	1188.7490885078	1
65.0247697183	3.5612677382	regular	1053.381573056	0
104.5461001519	3.752758897	regular	977.9313228642	0
104.2682073277	3.9127249015	regular	1012.7094154047	0
100.123877799	3.59021789	regular	959.9072241686	0
87.3200242773	4.4701400497	regular	1134.2744128899	1
76.1506071249	4.5915757668	regular	1021.6409444458	0
105.6735879462	3.9009553067	regular	952.9397480035	0
99.8067962099	4.1681731594	regular	987.9247062161	1
106.9910345954	3.6291375386	regular	881.8598409486	1
77.214258757	4.6921315871	regular	1047.6520084088	1
110.9097197969	4.3235294716	regular	960.3544121005	1
96.3131414002	4.0629804148	regular	911.9539328544	0
90.657202284	4.03565343	regular	1020.806907988	1
93.9460863086	4.1524737818	regular	1027.7992869834	1
97.5309448883	3.742017138	regular	1066.9393654045	0
119.7322940049	3.4617256231	regular	937.6894129277	0
98.806498836	4.5725765884	regular	1005.8115471347	1
72.0022017176	3.6790769882	regular	1113.8877212694	1
86.3838302759	4.2734555826	regular	1032.5769745566	1
104.7313779917	2.8645810405	regular	919.9890072776	1
93.200826788	3.5608826755	regular	1014.2884316298	0
107.1280860692	4.653615568	regular	1058.5181690265	0
100.4099434667	3.5186997575	regular	990.2960837375	0
104.8002551793	3.4009169974	regular	1108.8870566803	0
102.1879140818	4.9064804148	regular	1055.2183919568	1
100.7383110034	4.263770887	regular	957.5204464145	0
84.4163864364	4.7280949783	regular	1040.7399441424	1
80.9979439979	4.242236764	regular	1102.8979122281	1
103.1237773011	5.4285336614	regular	928.5187051061	1
97.750719514	3.3850182891	regular	1012.8093571692	0
114.1449062517	4.774945962	regular	928.2308990545	0
119.8644649412	4.3863386479	regular	962.838399596	1
83.5117869326	3.7402434561	regular	1059.1592746093	0
96.8624504045	3.8243077818	regular	974.9471997398	1
89.2398022584	4.1485701733	regular	929.7593815927	0
76.5608284918	4.1254717938	regular	1062.7425353822	1
96.4359270402	4.5809611579	regular	1013.8386548674	0
104.0747868806	4.3733483966	regular	988.146046073	1
112.4063396002	4.6289066647	regular	945.0932047507	0
104.8628085713	3.9094092706	regular	1005.7883946993	0
102.9380589383	4.6015645696	regular	994.7630046094	0
114.6005315949	3.3805924954	regular	935.8694108798	1
107.4167822119	3.1664199823	regular	982.7330253036	0
95.2391263643	4.7827985123	regular	954.9004230653	1
118.6750319477	4.1799440857	regular	854.3900579105	0
105.7451596383	4.018561906	regular	921.4688829833	1
110.5929402417	3.8732377236	regular	1042.8139310213	1
97.97918024	4.7309916154	regular	1042.7778421867	0
88.9713293471	3.422402646	regular	1064.1951850781	1
108.0358994592	4.363378684	regular	990.2319107947	0
115.8170361912	4.6436148561	regular	1011.0983462492	1
92.3856133268	4.1875814449	regular	966.0507106287	1
92.4327259554	4.587032274	regular	1028.953643793	0
112.1572808709	3.7910522423	regular	950.8372488872	1
110.4695943772	3.937801018	regular	967.5676403397	0
131.0559695807	3.0421363233	regular	904.7247746444	1
106.4402356026	4.7549870085	regular	929.2528121731	0
97.5871423386	3.3170917264	regular	1028.1489058108	0
108.7716894913	4.734953162	regular	969.0755425433	1
92.0233674935	3.3147817367	regular	948.8242001463	1
145.2194323932	4.2622032154	regular	908.470949729	1
96.6901136437	4.1349975507	regular	984.4153591559	0
85.4718593825	3.8156668382	regular	983.5279775073	1
127.7044193295	4.2682459572	regular	984.2960428627	1
116.2975539549	3.7746213496	regular	966.4200779943	1
88.4733414965	3.8242773094	regular	1101.102970642	1
94.6123523407	3.7756131604	regular	941.4074329443	1
127.938668252	3.3821010088	regular	898.0807007054	0
97.5544101523	3.4938342934	regular	1005.9863322638	1
102.7704528172	3.344520289	regular	908.6407940063	0
91.4896005867	3.003065945	regular	907.9309447058	0
107.6133714481	4.1291933289	regular	952.5317997466	0
94.5119500886	4.167908247	regular	1015.1401869497	1
91.4755504173	4.4431900607	regular	998.258945059	0
116.8840959952	4.2243138739	regular	969.0971572185	0
124.9015366432	3.3332962937	regular	950.4356882243	0
75.1507044847	3.6160315593	regular	1038.2040046972	1
98.814000691	4.2656097295	regular	1068.9577456651	1
100.0594943951	3.684118333	regular	917.5613222625	0
102.0837358863	4.2617106961	regular	986.8435267601	1
112.0582040657	3.8825654575	regular	956.5112434431	0
122.411521766	3.9270518958	regular	998.7705785829	1
111.2210104204	4.2012169007	regular	1092.756621519	1
101.236590442	3.9528889263	regular	935.0840582536	0
89.694476806	3.0729017332	regular	1183.2814971918	1
93.357516297	3.3239700235	regular	1048.3017870597	0
75.335078314	3.7603818924	regular	1177.7534701253	1
109.2301454713	4.3967988608	regular	878.6291389959	1
103.1774273159	3.5483203617	regular	917.6696369082	0
95.2210657351	4.4295190066	regular	1084.5810793304	1
87.3937882043	4.1783090361	regular	1022.2117021383	0
100.9871985918	3.5835677118	regular	1043.5465282481	0
97.4446049711	3.5366404711	regular	1125.400228186	0
90.4579890541	4.8787066396	regular	1134.9322173916	1
114.9559978797	3.1140367549	regular	977.5912998172	1
84.6659293768	4.0001279387	regular	1101.4596098268	1
116.4454415982	4.1349899332	regular	909.0974389653	0
114.0785330933	4.3920716972	regular	952.3874805634	1
72.6927749743	3.5659817969	regular	1083.9029368132	0
124.536819635	3.9435420655	regular	1080.4611949119	0
120.2524793918	3.5811239279	regular	856.1392452002	0
84.1235462309	4.7649779788	regular	959.9123939214	0
120.2539529883	3.6540625482	regular	971.4946178202	1
109.7650946857	4.4424876592	regular	978.5390103081	0
81.2934776388	4.0526336505	regular	1080.7165048534	1
96.9514274857	4.4921474609	regular	953.0937964552	0
72.2013589021	4.5204134932	regular	1065.7943147772	0
101.3803631997	4.5009442485	regular	988.6352750749	1
92.6402680129	4.1396738243	regular	1114.447453568	1
100.1981918764	4.3475235888	regular	1033.4684617847	0
104.9121816222	4.1326453606	regular	876.4827406082	0
104.0586160112	4.2360914056	regular	979.6928830729	0
114.1786716957	4.1128731167	regular	905.327053766	1
111.5664809152	4.6084470604	regular	953.7649431021	1
89.3627797398	4.1492474281	regular	1061.9477827408	0
106.5693165602	3.7957011512	regular	889.7901804407	0
102.3156494881	3.9723338231	regular	1045.0137371936	1
90.7970160813	4.0268569286	regular	1072.3399581643	0
90.0207358485	3.4406832305	regular	978.776700714	1
121.3008391414	4.3038780523	regular	963.1702501442	1
109.6354006394	4.0364969466	regular	923.9463342281	0
99.9056363835	3.913405507	regular	1045.8264978438	1
97.9741712265	4.3133007044	regular	998.8558854855	1
88.3814548496	4.3177540676	regular	1100.7218492646	0
99.9210349259	3.2225583728	regular	985.3740330836	1
77.2838600158	3.9671216152	regular	1024.1448439638	0
999	4.0066363738	regular	1119.6862949598	0
113.393341832	4.7654562039	regular	885.6162095866	1
127.4341968072	4.1138306315	regular	956.2971746984	1
81.2509373522	3.9756598051	regular	1043.0998566534	0
84.0956370407	3.899869274	regular	1004.9798377026	1
105.4498027278	4.0128130439	regular	975.745851615	1
95.4854888094	3.972918501	regular	904.0619418862	1
103.5893328204	4.4469261454	regular	1056.2753417102	1
71.4300208752	3.6845696097	regular	1055.0607225982	0
113.3907387771	3.7291701753	regular	877.0660244296	1
74.267372042	3.6545365661	regular	994.0658222554	1
107.5255215428	4.3941819266	regular	1010.4889494471	1
106.9867881554	3.559610717	regular	976.1043647324	1
93.6536559106	3.9228609676	regular	1021.8395078587	0
100.9457225753	3.1591827609	regular	916.5946887935	1
109.6354006394	4.0052783353	regular	929.2409257117	1
97.8778501437	4.0354380014	regular	971.6254630345	1
69.7669172516	4.6566096498	regular	1031.1814477825	1
109.3595060535	4.748705304	regular	935.925504915	0
99.2194532737	4.3663059984	regular	902.609445865	0
67.6632774887	3.3655229522	regular	1086.1805379189	1
92.6349887842	3.9101250579	regular	981.6715156106	1
82.6300425253	3.8225764567	regular	1032.0736617906	0
114.1645885994	4.2427809	regular	976.2924826151	1
81.1757580808	4.5374926208	regular	1119.9963259304	1
112.6810903012	3.5850047027	regular	902.3873743142	1
117.9316695833	4.2923481286	regular	892.7910564806	0
98.4861279214	3.7837064586	regular	1133.8681628032	1
106.5921918191	5.0764832652	regular	955.7914040856	1
125.653595102	3.8756394623	regular	825.0891448801	1
89.2688732117	3.7710253885	regular	1030.1368789203	1
121.8038411492	3.7708543626	regular	925.9724006915	1
79.1681012762	4.3716322171	regular	1210.5316830438	1
109.0877987094	4.2308711233	regular	1013.432267067	0
91.8621302599	4.646081865	regular	973.3428275338	1
93.876591994	3.9708577301	regular	956.7713638982	1
102.9892989641	4.1237627703	regular	925.1434031219	0
86.7465069612	3.3507599598	regular	997.6073201143	1
68.1455726996	3.8905612901	regular	1181.0588523855	0
120.4984569818	4.5285467257	regular	994.9492485888	0
98.7611373812	4.0090074571	regular	974.712790464	1
90.4726944555	3.8547368934	regular	1074.3254377935	1
122.1327323528	4.3784767018	regular	1032.2050998307	1
68.8017632115	4.7695861395	regular	1169.4354303226	0
106.0561144379	3.8724130983	regular	1019.6662444768	1
117.1851014788	4.1556736954	regular	932.5756366683	1
111.1077555736	4.6292348981	regular	888.6691556104	1
88.9447981743	3.6320410502	regular	1109.33559329	1
122.3641091497	4.3424942311	regular	958.9681821073	1
95.8022176803	3.6977476993	regular	1036.5195328569	1
97.8181292383	4.017536191	regular	1066.5095784209	0
105.4808896111	4.5173101287	regular	1023.8514030918	0
84.3967901895	4.077572702	regular	1088.9267301279	1
102.4510150442	3.0151164865	regular	984.2114649743	1
115.7266680177	2.9198365172	regular	1022.8569993122	1
85.5408950686	4.7319679308	regular	1063.1722648139	1
108.23415017	4.0335769113	regular	976.9363938728	0
98.6139285255	4.061275044	regular	1051.7453058731	0
95.8411431543	3.7170829232	regular	1048.7088166701	0
100.4246609929	3.9688279279	regular	906.7899545148	0
90.0132110968	3.5432732697	regular	1061.6228795677	0
127.0441772026	4.1927519939	regular	977.3205222846	1
114.0765360411	3.9386316772	regular	865.6830201542	0
112.2341889093	4.8463857629	regular	964.5111888983	0
92.9240865022	4.2997406612	regular	1091.8591910823	1
113.7490601177	4.1018696652	regular	890.4175213032	1
115.0977246892	3.8031233175	regular	959.9577510907	0
109.0877987094	4.269353629	regular	1091.8591446438	0
99.7839815783	3.4439046467	regular	959.4962589391	1
82.4334019208	3.2223233689	regular	1038.016816723	1
88.1016610577	4.9026111581	regular	979.6370138077	0
112.1575909254	4.3821502513	regular	959.8682441218	1
110.4890690783	3.0711721571	regular	1021.1161754813	0
86.7996470274	4.135788667	regular	1117.6436947133	0
61.3350673257	4.3652574792	regular	1083.966076828	1
87.40521521	3.9269952961	regular	966.8174407925	0
86.8852202602	4.4457439319	regular	1044.856533998	0
87.7550771966	4.0830044023	regular	1017.1255633192	0
98.7771559402	4.1753642891	regular	1044.473019815	1
109.3142710384	4.1342184678	regular	980.097253734	1
112.7534260843	3.7258191657	regular	988.2283587646	1
111.1083522285	3.4766789226	regular	975.4967608976	0
85.1675634674	4.1604991406	regular	1071.804902668	0
101.2318013246	4.6855580319	regular	959.7048707255	1
108.2519257812	4.4352267124	regular	1048.3888861448	0
99.4892954721	5.2135625514	regular	922.8763745427	1
102.9496114375	4.151250275	regular	1022.7270789742	1
105.0273969586	4.2786199293	regular	1012.005808054	1
125.7638261187	5.0458744147	regular	993.4541584572	0
102.078991225	4.2588691564	regular	938.6819978841	0
112.5189849436	3.8223126209	regular	885.4682590823	1
92.8196820077	3.090948967	regular	1061.4192598986	1
114.3074204117	3.4989818097	regular	997.9996804519	0
88.8077501224	3.2779253405	regular	1007.5634412682	1
83.9956864399	4.1090938704	regular	1079.8884652153	0
98.7390652841	4.5483814725	regular	979.6093948955	1
98.2277396334	3.600813167	regular	1097.3022241592	1
90.4559982465	3.9152077025	regular	966.8680168671	1
121.3510639497	4.4821914133	regular	935.8968210173	1
100.4160605099	3.4136863135	regular	1030.4459082202	1
88.3618530753	5.0260239785	regular	1055.3237469697	1
93.3042889156	3.8349989635	regular	980.2878703435	0
134.0274040243	4.193761585	regular	950.0708361901	1
86.8309998304	3.5524564806	regular	1053.7551939715	1
95.3950674822	4.5354433418	regular	916.2182382915	0
103.8089370198	4.1528029422	regular	941.857412103	1
96.0201980361	3.9736888856	regular	961.921246966	0
121.8568459425	3.4944725731	regular	997.6228742149	0
94.7530381966	4.4323511379	regular	1046.2912474662	0
118.6174041645	4.345807321	regular	942.064410562	1
93.3541270495	4.0102541299	regular	945.8269003764	1
114.1653267289	3.9969250618	regular	913.2658519395	1
88.8945929015	4.6323327555	regular	1058.8774637804	1
90.4510975586	4.5621713893	regular	899.4247476901	0
102.1598952571	3.8781922015	regular	983.3479892277	1
91.4148786138	3.8556639778	regular	1016.2220377758	1
109.4377816796	4.1394486506	regular	951.1060246774	1
104.7430679893	4.2165589322	regular	960.1063645768	1
108.6553068669	4.4424026578	regular	980.7125982911	0
101.3618566064	4.434917288	regular	993.2971170711	0
98.1792659289	3.5880337747	regular	988.5028804388	1
125.8595537953	3.3713426638	regular	1074.4867597889	0
100.0563295702	4.4756463391	regular	1068.3640589341	1
111.9595838255	3.4040325382	regular	955.0484551928	0
131.1607637905	3.9061290938	regular	892.3500632637	0
98.1822175939	3.8597789898	regular	1109.0028577552	1
97.041193242	3.7515865861	regular	1073.0821888139	1
107.6180935801	3.9894140876	regular	1026.4166822959	0
83.324928909	5.1900331229	regular	1011.2139411721	0
109.4612754886	3.2747672193	regular	939.4147023822	1
132.8766164557	4.7365182992	regular	924.1272245462	0
118.4423224441	4.4548591812	regular	920.2840265244	0
127.6982595262	4.845116317	regular	945.2091781483	1
97.8978832534	4.4660933233	regular	1036.9208081262	0
99.8827408358	3.5762847364	regular	998.3645709398	1
76.512286141	3.5091059456	regular	1021.2682032045	0
95.6841981625	3.4477140416	regular	956.7761601233	0
85.6140088532	3.6006318454	regular	995.5891939681	1
131.7420547817	3.5486980518	regular	868.1553820519	0
99.6838056602	3.5163174095	regular	1043.042708983	0
90.8795102211	3.8441426838	regular	1054.2897144165	0
109.8190980113	3.380440495	regular	982.9258905466	1
114.6618164627	2.4236481557	regular	894.5324828996	1
106.2961068085	4.2982281005	regular	908.1903501633	0
94.570523542	3.8411268019	regular	1035.7679479632	1
97.2148433469	3.7444687455	regular	986.6272502969	1
127.7084050005	3.28230101	regular	977.6297141149	0
80.4575231205	3.5278935816	regular	1050.0843635335	0
76.180154763	5.0254263574	regular	996.9049906644	0
84.6304402392	5.3746832209	regular	958.6587320097	0
83.7476297825	4.4632770284	regular	999.9102764465	1
54.5040096444	4.2490354333	regular	1122.52842045	1
97.9520470876	4.0373862935	regular	1048.8862777387	0
80.4707528216	3.8051172287	regular	1003.2836343829	1
105.4407549491	4.0971006178	regular	1020.1925422473	1
94.2781708738	4.5807273803	regular	935.6105256566	0
114.1407776701	3.8879796756	regular	1050.4335685154	1
103.004810566	4.233574509	regular	937.9156886034	1
116.9936075708	3.6571090387	regular	910.1447710822	0
119.5670762633	4.0416924965	regular	990.4374562976	1
112.004610471	4.551194788	regular	1003.2492456149	1
93.2656268588	3.8778271081	regular	999.2400615713	1
80.7894901478	4.3727325747	regular	988.9256036581	1
116.8373868184	3.0358326246	regular	967.7525913447	0
82.8527336306	3.6343600169	regular	1090.2603732372	1
95.7001994909	4.1981604225	regular	998.6654763104	0
99.9491800871	3.496077528	regular	1006.6591338934	1
90.4387951495	4.4442806047	regular	1092.2814465508	1
99.1507969902	2.6816455976	regular	1073.7858569787	1
97.3672310655	3.8543522696	regular	1047.6615068084	0
107.0294090813	4.334871324	regular	912.6573010917	0
98.8211553595	3.3991062892	regular	1011.3294577252	0
100.8213787709	3.536515469	regular	834.4940288356	1
112.1681551716	3.4082108007	regular	983.7483643299	1
128.2134044616	4.2195519535	regular	880.3265007858	1
105.1854761551	3.4369258831	regular	984.1753189794	0
64.8508962151	4.3622519182	regular	1048.7573701648	1
74.6582687075	3.4409028128	regular	1029.134392681	0
94.7660313046	3.9976792921	regular	1004.9377294198	0
126.6612222148	3.1175626548	regular	919.1719064381	0
111.3896214052	3.0271690669	regular	959.348887516	1
113.8847196011	4.9967963415	regular	915.132308803	0
99.4708866823	3.8887286768	regular	945.9197684994	1
99.8341681403	3.4767112402	regular	1066.8250437595	1
106.0890561245	4.2920949031	regular	1040.6402490747	1
103.6304555235	3.7801664556	regular	1023.8704270526	0
125.9715986295	4.2220372893	regular	1018.8435643944	0
100.251306054	4.1565933724	regular	1063.8491543498	1
123.8013564505	3.6280034482	regular	743.5174850874	1
101.6731325092	3.0840913538	regular	944.6672205985	0
99.4368738043	3.9728287728	regular	1031.4665237571	1
110.0593342154	3.5076950288	regular	885.2275927933	1
79.6874660633	3.4965037283	regular	1080.8392519911	1
111.9462774638	4.0150933359	regular	1010.2690635986	0
93.5866538165	3.276273578	regular	880.4297392837	0
95.2409936915	3.8740669538	regular	1094.5046786175	0
103.2919483541	3.3858366016	regular	934.0272813222	1
149.8118553367	4.0978755101	regular	909.59707433	0
102.9100147853	3.9853019775	regular	957.2582901249	1
108.9109284047	3.4447946763	regular	894.5424794508	0
94.5190888549	4.6052994939	regular	992.9908879513	0
85.6840321312	3.6092639634	regular	1018.0440298856	0
115.0723014977	3.1826659647	regular	990.5552934996	1
106.2015577667	4.1497420934	regular	939.2868123033	1
110.8875218046	3.470386756	regular	1058.5156598035	1
97.9780402417	3.7609676448	regular	1026.112749305	0
96.1929035336	3.9582228471	regular	894.6052371766	0
96.587014446	4.098060034	regular	1028.2476601694	1
117.1601325534	4.1173018686	regular	860.3910195914	1
123.0128402645	4.6015865349	regular	1028.2262148667	0
118.0291569802	4.5653130441	regular	846.7546250887	0
113.8369574452	4.3819749817	regular	947.6700418603	1
103.1250552063	3.9964321447	regular	963.6746811822	0
111.8766720711	4.1616113399	regular	952.8399235944	0
98.8444385499	3.9623495456	regular	1027.3516344967	0
127.7178346579	3.9543641937	regular	858.0740485283	0
114.5898689686	4.4518329705	regular	909.7813140611	0
134.3431261682	4.314397499	regular	878.3571628149	0
90.2530196364	4.6513186555	regular	1005.6878435424	1
102.1783627214	3.2246653343	regular	910.3897685755	1
110.3863870788	4.1330353912	regular	964.4167873123	0
92.6719366539	4.3696319414	regular	949.8615419391	0
124.7992876654	4.5258127156	regular	878.7900109037	1
96.6887479708	3.4889747004	regular	1087.6017710332	0
81.9721869546	3.7555921536	regular	1014.7101583222	0
99.0847510653	4.4025850778	regular	1015.6681588687	1
110.6526284716	4.6153603819	regular	925.2029488055	1
88.8588645608	3.972759049	regular	1012.5541655601	1
86.3893064541	4.1608936191	regular	993.7679005647	1
87.6012846725	4.0873266656	regular	919.1110911882	1
109.9543673819	3.6605060098	regular	1046.3968782641	1
91.9584911888	4.0814387362	regular	963.6451763601	1
99.1052043608	3.3660681781	regular	982.1856311504	0
123.3617595872	3.5050109414	regular	903.2765552437	0
75.2984494382	3.9241594466	regular	983.3014714955	0
81.3270335647	3.4325425402	regular	1077.9495927049	1
102.0106074179	3.6883268643	regular	1003.2929972602	0
107.2837368886	4.1670592099	regular	1005.9108438448	0
84.5430641334	3.9133011769	regular	1092.1564200925	1
118.514405371	4.7179040011	regular	916.6025411552	1
94.726074553	2.9822538485	regular	1072.3212373076	1
98.2257045416	4.8321914473	regular	969.230466564	1
118.9920628688	3.3103652022	regular	897.0783020477	1
115.2937927545	4.0738443422	regular	938.2044454256	1
98.5822487212	3.2357609422	regular	987.6409755949	1
113.6004761788	3.840076126	regular	1115.1453751274	0
83.5888240055	4.0926631642	regular	1083.1487075416	0
116.9133935297	4.5818231762	regular	925.282610676	0
103.9332039532	3.8839316441	regular	1059.5340565066	1
110.4635671703	3.6373547308	regular	1013.5575143901	0
86.6000593046	3.6934091654	regular	1077.4812908682	0
101.5751687537	3.7122579812	regular	953.4151280666	0
109.3176935275	3.3443717453	regular	939.012336201	0
86.4890652391	5.0283674916	regular	1087.7701789324	0
100.9127067355	2.7162442303	regular	1123.8687321077	0
126.0745450354	4.3320233708	regular	970.2713028356	0
111.4909511152	3.9058371507	regular	926.82691178	1
97.7179901683	3.3869216973	regular	1121.6573393556	1
